3.146996121600000000e+11,1.314375000000000000e+07,6.500306250000000000e+05,1.069131700000000000e+07,2.850481562500000000e+05,7.160952000000000000e+06,1.417639040000000000e+09,3.132500541440000000e+11
3.977495511040000000e+11,9.971446000000000000e+06,1.326449687500000000e+05,1.892953875000000000e+06,1.013447656250000000e+05,6.002530000000000000e+05,4.723203200000000000e+08,3.972645191680000000e+11
1.313966571520000000e+11,4.892298000000000000e+06,9.152189062500000000e+04,3.626536250000000000e+06,1.070927890625000000e+05,2.891149750000000000e+06,6.020934000000000000e+07,1.313248378880000000e+11
2.967487283200000000e+10,2.804829250000000000e+06,9.889616406250000000e+04,7.373100500000000000e+06,1.342060937500000000e+05,9.835796000000000000e+06,3.370945600000000000e+08,2.931753164800000000e+10
8.663302144000000000e+10,2.280230000000000000e+06,1.003899531250000000e+05,1.048395600000000000e+07,1.477541093750000000e+05,1.801982800000000000e+07,7.541205760000000000e+08,8.584786739200000000e+10
1.003285463040000000e+11,1.910051000000000000e+06,7.952482812500000000e+04,1.101827700000000000e+07,1.356927187500000000e+05,2.224439400000000000e+07,8.994335360000000000e+08,9.939372441600000000e+10
5.661243801600000000e+10,1.468938500000000000e+06,4.787343359375000000e+04,9.452959000000000000e+06,1.076505156250000000e+05,2.215681000000000000e+07,7.901962240000000000e+08,5.578900684800000000e+10
1.750762496000000000e+10,1.118974125000000000e+06,2.257258789062500000e+04,7.057442500000000000e+06,7.700509375000000000e+04,1.974185000000000000e+07,5.833044480000000000e+08,1.689630208000000000e+10
9.276312576000000000e+09,9.077515000000000000e+05,1.254267871093750000e+04,4.842632500000000000e+06,5.320382031250000000e+04,1.650983800000000000e+07,3.817920960000000000e+08,8.872195072000000000e+09
2.121908838400000000e+10,7.961750000000000000e+05,1.532282910156250000e+04,3.313106500000000000e+06,4.007721875000000000e+04,1.321004400000000000e+07,2.259797600000000000e+08,2.097573273600000000e+10
3.269996134400000000e+10,7.345477500000000000e+05,2.117660742187500000e+04,2.523250250000000000e+06,3.624856640625000000e+04,1.030911100000000000e+07,1.239127920000000000e+08,3.256242380800000000e+10
3.257322700800000000e+10,6.882801875000000000e+05,2.185747070312500000e+04,2.326600000000000000e+06,3.791981250000000000e+04,8.074261500000000000e+06,6.655277600000000000e+07,3.249552588800000000e+10
2.309704294400000000e+10,6.464698125000000000e+05,1.614469921875000000e+04,2.584765250000000000e+06,4.194591796875000000e+04,6.524769500000000000e+06,3.834328000000000000e+07,2.304888627200000000e+10
1.225513164800000000e+10,6.128261875000000000e+05,8.412580078125000000e+03,3.203581750000000000e+06,4.679545703125000000e+04,5.550411500000000000e+06,2.742855000000000000e+07,1.221828198400000000e+10
5.811857920000000000e+09,5.904680000000000000e+05,3.947355224609375000e+03,4.080444000000000000e+06,5.182536328125000000e+04,5.015709000000000000e+06,2.763722000000000000e+07,5.774478336000000000e+09
4.858919424000000000e+09,5.760905625000000000e+05,5.505090820312500000e+03,5.068347000000000000e+06,5.643753906250000000e+04,4.798407500000000000e+06,3.549529200000000000e+07,4.812919296000000000e+09
7.269037056000000000e+09,5.624990000000000000e+05,1.249195996093750000e+04,5.991842000000000000e+06,5.986393750000000000e+04,4.798915500000000000e+06,4.773852400000000000e+07,7.209872896000000000e+09
1.013845708800000000e+10,5.432713750000000000e+05,2.203715820312500000e+04,6.694750000000000000e+06,6.142537500000000000e+04,4.938796500000000000e+06,6.088786000000000000e+07,1.006530867200000000e+10
